1,5740,4611,3193,325,4576,4028
10,2603,5811,3814,4611,4467,8140
11,8243,325,2220,1308,8222,1507
12,677,3184,3260,4028,4145,2614
13,144,7460,6032,3193,128,451
14,8393,2010,3324,4930,7165,5492
15,4269,9597,3201,1038,5740,5667
16,2358,3492,9097,6964,6936,1014
17,424,1317,4028,48,6302,8145
18,1507,128,325,5811,4576,1308
19,7165,554,7460,2603,4611,2614
2,2614,8222,4930,6964,1308,2603
20,2010,9597,4930,6032,4085,451
21,6936,3260,3492,5492,4269,3814
22,3184,9097,8243,144,3201,2220
23,4467,5667,424,3193,1014,8140
24,1317,8222,6302,8393,677,1038
25,6964,2358,5740,48,3324,4145
26,2614,3260,5811,8145,2010,6936
27,4085,4028,3814,7460,5492,1507
28,4611,2220,7165,1014,4930,6032
29,424,6302,3492,4269,325,451
3,8393,2220,4085,3814,7460,8140
30,8243,5667,8140,1308,677,3324
31,4145,8393,2603,2358,4576,9597
32,48,9097,4467,128,1038,3184
33,554,1317,3201,144,8222,6964
34,3193,1507,4085,5740,7165,4269
35,2614,6032,2220,5667,3492,5811
36,4611,4028,2010,8393,2358,6936
37,7460,4576,4145,3324,424,4930
38,1308,451,4467,1317,3260,48
39,3184,3193,6302,8222,3201,1014
4,1507,677,9597,554,4467,8145
40,9597,8145,6964,9097,3814,325
41,128,5492,144,677,2603,5740
42,1038,8243,2358,8140,554,424
43,4611,8393,6032,4467,3324,4269
44,7165,1507,4576,6936,3184,8222
45,2010,3193,7460,9097,1317,1308
46,3201,677,48,325,3260,4085
47,451,1038,6964,2220,8145,2603
48,3814,4930,5667,5811,5740,8243
49,1014,2614,5492,8140,9597,128
5,5811,1317,3184,4269,424,2358
50,6302,554,4028,3492,4145,144
51,7460,2358,3260,6032,7165,677
52,8222,9097,451,3184,4269,4611
53,325,4930,6936,1507,5667,1317
54,1308,8393,1014,3201,5811,8145
55,424,5740,9597,2220,6964,2010
56,5492,8140,4145,3193,3492,48
57,4085,144,2614,4576,4467,1038
58,6302,2603,128,8243,3814,554
59,3324,451,7165,4028,5811,677
6,1038,4145,3260,8243,2010,1014
60,2358,1507,4611,5667,7460,3201
61,8145,8140,8222,9097,4145,5740
62,4467,5492,1317,2220,4576,3492
63,1014,325,3184,2603,2010,554
64,3814,6936,1308,424,1038,6032
65,48,144,8243,9597,2614,8393
66,4028,128,4269,4085,6964,4930
67,3324,3193,9097,1507,6302,3260
68,325,5667,7165,4145,2358,4467
69,4576,8140,2603,3201,6032,2010
7,6936,6032,5492,144,451,6302
70,1014,5740,3814,451,2614,1317
71,8145,4269,144,5492,4611,48
72,9597,1308,1038,4028,3324,3184
73,3260,8393,424,128,3492,8222
74,554,6936,677,4930,2220,3193
75,4085,7460,5811,6302,8243,6964
76,6032,3814,4145,1507,3201,2614
77,8140,144,3324,1317,8145,325
78,2010,4467,128,5667,4028,8222
79,5492,424,677,7165,9097,8393
8,3492,3324,3201,128,48,7165
80,6936,48,4269,2603,8243,7460
81,451,4930,4576,2220,6302,2358
82,3492,1014,554,5740,4085,1308
83,1038,5811,4611,3260,9597,3193
84,6964,6032,5667,3184,5492,8393
85,3324,2603,1507,2614,424,9097
86,4576,3201,8243,451,4028,8145
87,1317,6936,2220,4145,4085,128
88,8222,7165,5811,9597,144,554
89,2010,48,2358,3814,3193,4467
9,9097,8145,4576,554,4085,5667
90,6302,8140,5740,3260,1308,4611
91,3492,1038,325,4930,3184,7460
92,4269,6964,1507,677,1014,4576
